path,.,_id,imageUrl,brush,annotation.0.id,annotation.0.keypointsDefinitionId,annotation.0.regionType,annotation.0.points.nose.x,annotation.0.points.nose.y,annotation.0.points.rightEye.x,annotation.0.points.rightEye.y,annotation.0.points.leftEye.x,annotation.0.points.leftEye.y,annotation.0.points.rightEar.x,annotation.0.points.rightEar.y,annotation.0.points.leftEar.x,annotation.0.points.leftEar.y,annotation.0.points.rightShoulder.x,annotation.0.points.rightShoulder.y,annotation.0.points.leftShoulder.x,annotation.0.points.leftShoulder.y,annotation.0.points.rightElbow.x,annotation.0.points.rightElbow.y,annotation.0.points.leftElbow.x,annotation.0.points.leftElbow.y,annotation.0.points.rightWrist.x,annotation.0.points.rightWrist.y,annotation.0.points.leftWrist.x,annotation.0.points.leftWrist.y,annotation.0.points.rightHip.x,annotation.0.points.rightHip.y,annotation.0.points.leftHip.x,annotation.0.points.leftHip.y,annotation.0.points.rightKnee.x,annotation.0.points.rightKnee.y,annotation.0.points.leftKnee.x,annotation.0.points.leftKnee.y,annotation.0.points.rightAnkle.x,annotation.0.points.rightAnkle.y,annotation.0.points.leftAnkle.x,annotation.0.points.leftAnkle.y
interface,"{""type"":""image_landmark_annotation"",""keypointDefinitions"":{""human"":{""landmarks"":{""nose"":{""label"":""Nose"",""color"":""#f00"",""defaultPosition"":[0,0]},""rightEye"":{""label"":""right eye"",""color"":""#00f"",""defaultPosition"":[-0.05,-0.05]},""leftEye"":{""label"":""left eye"",""color"":""#f0f"",""defaultPosition"":[0.05,-0.05]},""rightEar"":{""label"":""right ear"",""color"":""#0ff"",""defaultPosition"":[-0.1,-0.05]},""leftEar"":{""label"":""left ear"",""color"":""#00f"",""defaultPosition"":[0.1,-0.05]},""rightShoulder"":{""label"":""right shoulder"",""color"":""#0ff"",""defaultPosition"":[-0.2,0.1]},""leftShoulder"":{""label"":""left shoulder"",""color"":""#00f"",""defaultPosition"":[0.2,0.1]},""rightElbow"":{""label"":""right elbow"",""color"":""#0f0"",""defaultPosition"":[-0.2,0.2]},""leftElbow"":{""label"":""left elbow"",""color"":""#f00"",""defaultPosition"":[0.2,0.2]},""rightWrist"":{""label"":""right wrist"",""color"":""#00f"",""defaultPosition"":[-0.2,0.3]},""leftWrist"":{""label"":""left wrist"",""color"":""#f0f"",""defaultPosition"":[0.2,0.3]},""rightHip"":{""label"":""right hip"",""color"":""#f00"",""defaultPosition"":[-0.1,0.35]},""leftHip"":{""label"":""left hip"",""color"":""#0ff"",""defaultPosition"":[0.1,0.35]},""rightKnee"":{""label"":""right knee"",""color"":""#ff0"",""defaultPosition"":[-0.15,0.45]},""leftKnee"":{""label"":""left knee"",""color"":""#0f0"",""defaultPosition"":[0.15,0.45]},""rightAnkle"":{""label"":""right ankle"",""color"":""#00f"",""defaultPosition"":[-0.15,0.55]},""leftAnkle"":{""label"":""left ankle"",""color"":""#f00"",""defaultPosition"":[0.15,0.55]}},""connections"":[[""nose"",""rightEye""],[""rightEye"",""rightEar""],[""nose"",""leftEye""],[""leftEye"",""leftEar""],[""rightWrist"",""rightElbow""],[""rightElbow"",""rightShoulder""],[""rightShoulder"",""leftShoulder""],[""leftShoulder"",""leftElbow""],[""leftElbow"",""leftWrist""],[""rightHip"",""leftHip""],[""rightAnkle"",""rightKnee""],[""rightKnee"",""rightHip""],[""rightHip"",""rightShoulder""],[""leftAnkle"",""leftKnee""],[""leftKnee"",""leftHip""],[""leftHip"",""leftShoulder""]]}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samples.0,,skbgehvdj,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_001_img_000000025_c0.png,complete,9378112501203879,human,keypoints,0.7552380952380953,0.18888888888888888,0.7148240165631471,0.16507936507936508,0.7476604554865425,0.15396825396825398,0.6264182194616977,0.13333333333333333,0.6339958592132505,0.13015873015873017,0.457184265010352,0.24603174603174602,0.5077018633540373,0.2126984126984127,0.35109730848861287,0.39365079365079364,0.3308902691511387,0.3682539682539683,0.2828985507246377,0.48095238095238096,0.285424430641822,0.4746031746031746,0.7476604554865425,0.5571428571428572,0.40414078674948245,0.5317460317460317,0.7021946169772257,0.7507936507936508,0.31573498964803315,0.7142857142857143,0.7451345755693582,0.8761904761904762,0.17175983436853004,0.8555555555555555
samples.1,,sy7luasee,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_002_img_000000025_c0.png,complete,46510430775754075,human,keypoints,0.6570494864612512,0.1873015873015873,0.6107376283846871,0.1634920634920635,0.7004668534080298,0.15873015873015872,0.5528478057889822,0.15873015873015872,0.7583566760037348,0.173015873015873,0.5123249299719888,0.24603174603174602,0.8278244631185807,0.23492063492063492,0.3791783380018674,0.319047619047619,0.8915032679738562,0.34285714285714286,0.2749766573295985,0.3825396825396825,0.35602240896358545,0.49047619047619045,0.4891690009337068,0.5714285714285714,0.7873015873015873,0.580952380952381,0.4833800186741363,0.746031746031746,0.7178338001867414,0.765079365079365,0.526797385620915,0.9111111111111111,0.6483660130718953,0.9206349206349206
samples.2,,sbosqvdrd,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_003_img_000000025_c0.png,complete,45998801015617086,human,keypoints,0.5404965404965405,0.21587301587301588,0.4763125763125763,0.19047619047619047,0.6013024013024013,0.19206349206349208,0.4323972323972324,0.1873015873015873,0.6756206756206756,0.20317460317460317,0.4121286121286121,0.2873015873015873,0.7229141229141229,0.2873015873015873,0.31078551078551075,0.4111111111111111,0.8850630850630851,0.43492063492063493,0.20606430606430606,0.5555555555555556,0.814122914122914,0.6015873015873016,0.48644688644688644,0.5793650793650794,0.6823768823768823,0.5761904761904761,0.48306878306878304,0.7777777777777778,0.7127798127798127,0.753968253968254,0.4256410256410256,0.9063492063492063,0.7026455026455026,0.9142857142857143
samples.3,,s1ajkijbn,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_004_img_000000025_c0.png,complete,007337552196380326,human,keypoints,0.5476190476190476,0.18571428571428572,0.49066666666666664,0.15555555555555556,0.6133333333333333,0.15555555555555556,0.43371428571428566,0.1492063492063492,0.7097142857142856,0.15873015873015872,0.37238095238095237,0.23809523809523808,0.8017142857142857,0.2396825396825397,0.07447619047619047,0.24603174603174602,0.9199999999999999,0.3825396825396825,0.01752380952380952,0.15714285714285714,0.7535238095238095,0.4111111111111111,0.3373333333333333,0.5047619047619047,0.6308571428571428,0.49682539682539684,0.46438095238095234,0.7126984126984127,0.6527619047619048,0.7111111111111111,0.4556190476190476,0.8777777777777778,0.6615238095238095,0.8793650793650793
samples.4,,scot30e81,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_005_img_000000025_c0.png,complete,9277971302036399,human,keypoints,0.6414965986394559,0.18888888888888888,0.715873015873016,0.1523809523809524,0.6926303854875284,0.14444444444444443,0.734467120181406,0.16984126984126985,0.771655328798186,0.15396825396825398,0.43696145124716557,0.2857142857142857,0.8460317460317461,0.2857142857142857,0.367233560090703,0.38571428571428573,0.8646258503401362,0.4253968253968254,0.4787981859410431,0.5603174603174603,0.8553287981859411,0.5365079365079365,0.5159863945578231,0.5380952380952381,0.7298185941043085,0.5349206349206349,0.5624716553287983,0.7126984126984127,0.6926303854875284,0.734920634920635,0.10691609977324264,0.807936507936508,0.6600907029478459,0.9015873015873016
samples.5,,sn7ot1rwx,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_006_img_000000000_c0.png,complete,9001976798898195,human,keypoints,0.4817204301075269,0.17936507936507937,0.44157706093189963,0.15396825396825398,0.5620071684587814,0.1492063492063492,0.36630824372759857,0.1523809523809524,0.6573476702508961,0.15555555555555556,0.3863799283154122,0.2634920634920635,0.7827956989247312,0.273015873015873,0.15555555555555556,0.3873015873015873,0.757661949991927,0.4333915966893157,0.45663082437275987,0.4587301587301587,0.5519713261648745,0.4873015873015873,0.3612903225806452,0.5523809523809524,0.6372759856630824,0.5619047619047619,0.45663082437275987,0.7285714285714285,0.6473118279569893,0.7206349206349206,0.4516129032258065,0.8888888888888888,0.6824372759856631,0.8920634920634921
samples.6,,sk6h42tvh,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_007_img_000000001_c0.png,complete,562468369426943,human,keypoints,0.4697116942014901,0.16825396825396827,0.5495626822157434,0.1492063492063492,0.38516358924522187,0.15079365079365079,0.6294136702299967,0.1523809523809524,0.33349530288305795,0.14285714285714285,0.7515387107223842,0.25555555555555554,0.27243278263686427,0.2698412698412698,0.8877551020408163,0.39206349206349206,0.21137026239067055,0.39365079365079364,0.9159378036929057,0.5,0.15500485908649173,0.5365079365079365,0.6810819565921606,0.5190476190476191,0.3475866537091027,0.5222222222222223,0.6810819565921606,0.719047619047619,0.35698088759313246,0.7222222222222222,0.6904761904761905,0.8857142857142857,0.3945578231292517,0.873015873015873
samples.7,,sc0kavmbo,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_008_img_000000001_c0.png,complete,16149032048445,human,keypoints,0.21798941798941798,0.16666666666666666,0.23009994121105232,0.14444444444444443,0.27248677248677244,0.1492063492063492,0.3814814814814815,0.1349206349206349,0.43597883597883597,0.15555555555555556,0.44808935920047027,0.23015873015873015,0.5752498530276308,0.2492063492063492,0.5268077601410934,0.38412698412698415,0.8114050558495003,0.37936507936507935,0.4420340975896531,0.5,0.44808935920047027,0.4984126984126984,0.4844209288653733,0.5126984126984127,0.5146972369194591,0.5238095238095238,0.6418577307466196,0.719047619047619,0.653968253968254,0.7174603174603175,0.6902998236331569,0.8809523809523809,0.7024103468547912,0.8793650793650793
samples.8,,sefpwjbtr,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_009_img_000000001_c0.png,complete,5001185393453871,human,keypoints,0.42369614512471654,0.18412698412698414,0.3649659863945578,0.1634920634920635,0.4782312925170068,0.1619047619047619,0.323015873015873,0.15873015873015872,0.5453514739229025,0.16507936507936508,0.29784580498866214,0.25396825396825395,0.6628117913832199,0.24761904761904763,0.27267573696145125,0.4238095238095238,0.9270975056689342,0.4111111111111111,0.41950113378684806,0.30952380952380953,0.7383219954648526,0.33650793650793653,0.4069160997732426,0.5142857142857142,0.6963718820861677,0.5063492063492063,0.48662131519274376,0.7333333333333333,0.7005668934240362,0.7174603174603175,0.5453514739229025,0.873015873015873,0.7173469387755101,0.8634920634920635
